cycle,id,candidate_name,party,state,district,current_candidate,cycle_candidate,recip_code,raised_from_pacs,raised_from_individuals,raised_total,raised_unitemized
2012,N00033110,Nizam Kamal,D,NJ,7, ,Y,DN,,,0,
2012,N00029965,David Lee Joy,R,CA,51, , ,RN,,,0,
2012,N00029972,Pepito L Castellanes,R,CO,6, , ,RN,,,0,
2012,N00029801,Steven Lee Childs,3,CO,7, , ,3N,,,0,
2012,N00030173,Stephen E D Fournier,3,CT,1, , ,3N,,,0,
2012,N00029657,Daniel J. Reale,L,CT,2,Y,Y,3C,,,0,
2012,N00029483,Harold Burbank,I,CT,5, , ,3N,,,0,
2012,N00030236,Thomas Linton Winn,I,CT,5, , ,3N,,,0,
2012,N00028955,Liza Dawn Cherricks,I,DE,1, ,Y,3N,,,0,
2012,N00026411,Piotr Blass,3,FL,22, , ,3N,,,0,
2012,N00029486,Robert Ortiz,R,FL,2, , ,RN,,,0,
2012,N00030179,Jeff Scott,D,GA,9, , ,DN,7621.0,,7621,
2012,N00029487,James Clyde Malloy,D,FL,7, , ,DN,,,0,
2012,N00029849,Anita De Palma,D,FL,9, , ,DN,,,0,
2012,N00030174,Don Baldauf,R,FL,13, , ,RN,,,0,
2012,N00029851,Edward J. Lynch,R,FL,19, , ,RN,8000.0,,8000,
2012,N00029491,Jeffrey Brian Bouffard,U,FL,15, , ,UN,,,0,
2012,N00029983,Lee Barnard,I,FL,19, , ,3N,,,0,
2012,N00029492,Dean Santoro,R,FL,21, , ,RN,,,0,
2012,N00029984,Richard Allbritton,D,FL,21, , ,DN,,,0,
2012,N00029665,Paul Francis Renneisen,D,FL,22, , ,DN,,,0,
2012,N00029222,Gaurav Bhola,D,FL,24, , ,DN,,,0,
2012,N00030239,Jason Paul Davis,R,FL,24, , ,RN,,,0,
2014,N00035980,Buck Willis,D,TX,14, ,Y,DL,4500.0,500.0,5000,
2012,N00029986,Douglas Scott Heckman,D,GA,7, , ,DN,,,0,
2012,N00029133,Rick Goddard,R,GA,8, , ,RN,,,0,
2012,N00030230,James Paul Mason,I,GA,10, , ,3N,,,0,
2012,N00030180,Bud Gammon,D,GA,11, , ,DN,,,0,
2012,N00028929,Rob Hubler,D,IA,5, , ,DN,,,0,
2012,N00029496,Matthew Salisbury,R,ID,1, , ,RN,,,0,
2012,N00029993,David Sneddon,D,ID,2, , ,DN,,,0,
2012,N00029498,Antoine Members,R,IL,1, , ,RN,,,0,
2012,N00029318,Jim Capparelli,D,IL,3, , ,DN,,,0,
2012,N00029021,Ricardo Munoz,D,IL,4, , ,DN,,,0,
2012,N00029189,Alan Augustson,3,IL,5, , ,3N,,,0,
2012,N00030573,Deborah Mell,D,IL,5, , ,DN,,,0,
2012,N00030594,Matt Reichel,3,IL,5, , ,3N,,,0,
2012,N00029136,Randi Scheurer,D,IL,8, , ,DN,,,0,
2012,N00029374,Kirk Morris,R,IL,8, , ,RN,,,0,
2012,N00029503,Michael Benjamin Younan,R,IL,9, , ,RN,,,0,
2012,N00029023,David James Kalbfleisch,3,IL,10, , ,3N,,,0,
2012,N00029507,Rodger W. Jennings,3,IL,12, , ,3N,,,0,
2012,N00029271,Steven J Alesch,3,IL,13, , ,3N,,,0,
2012,N00029508,O'Kane Sean,R,IL,13, , ,RN,,,0,
2012,N00030437,Theodore Knapp,I,IL,13, , ,3N,,,0,
2012,N00028956,Jotham Shephard Stein,D,IL,14, , ,DN,,,0,
2012,N00029138,Linda Chapa Lavia,D,IL,14, , ,DN,,,0,
2012,N00029379,Joe Serra,D,IL,14, , ,DN,,,0,
2012,N00029272,Robert Abboud,D,IL,16, , ,DN,,,0,
2012,N00005233,Dennis Moore,D,KS,3, , ,DN,-100.0,,-100,
2012,N00014035,Nels Ackerson,D,IN,4, , ,DN,,,0,
2012,N00030003,Mary Etta Ruley,D,IN,5, , ,DN,,,0,
2012,N00029323,Wayne E. Harmon,R,IN,7, ,Y,RL,,,0,
2012,N00029511,Jon Elrod,R,IN,7, , ,RN,,,0,
2012,N00029672,Sean Shepard,I,IN,7, , ,3N,,,0,
2012,N00029854,Larry Lamont Ledford,D,IN,7, , ,DN,,,0,
2012,N00030007,John R. Bottorff,D,IN,9, , ,DN,,,0,
2012,N00028987,Joel Balam,L,KS,3,Y,Y,3C,,,0,
2012,N00029517,Benjamin Owen Morris,R,LA,1, , ,RN,,,0,
2012,N00029820,Michael Jackson,3,LA,6, , ,3N,,,0,
2012,N00030249,Donald R Cravins Jr,D,LA,7, , ,DN,,,0,
2014,N00029204,Richard Grayson,D,WY,1, , ,DC,2000.0,500.0,2500,
2012,N00029145,Meyer F Marks,R,MD,8, , ,RN,,,0,
2012,N00029326,John Leo Walter,R,MD,1, , ,RN,,,0,
2012,N00029385,Jason Donnell Jennings,D,MD,4, , ,DN,,,0,
2012,N00029532,Rick Lank,D,MD,6, , ,DN,,,0,
2012,N00029537,Bruce Stern,R,MD,8, , ,RN,,,0,
2012,N00029386,Scott Killips,D,MI,2, , ,DN,,,0,
2012,N00029687,Bill Putman,R,MI,5, , ,RN,,,0,
2012,N00029388,Thomas K Spencer,D,MI,11, , ,DN,,,0,
2012,N00030231,John Lynch,R,MI,15, , ,RN,,,0,
2012,N00030021,Peter Indusogie,D,MN,2, , ,DN,,,0,
2012,N00029392,Ashwin Madia,D,MN,3, , ,DN,,,0,
2012,N00029688,Barbara Davis White,D,MN,5, , ,DN,,,0,
2012,N00030415,Bob Anderson,3,MN,6, , ,3N,,,0,
2012,N00030256,John Wayne Tucker,R,MO,3, , ,RN,,,0,
2012,N00030022,David R Browning,L,MO,6, , ,3N,,,0,
2012,N00029822,Greg Davis,R,MS,1, , ,RN,,,0,
2012,N00030027,Wally Pang,I,MS,1, , ,3N,,,0,
2012,N00029823,Richard Cook,R,MS,2, , ,RN,,,0,
2012,N00029395,Michael Zaccaro,D,NC,8, , ,DN,,,0,
2012,N00029329,Bryan Greene,I,NC,10, , ,3N,,,0,
2012,N00029396,Steve Ivester,D,NC,10, , ,DN,,,0,
2012,N00029154,Linda Barnes,D,NC,13, , ,DN,,,0,
2012,N00029634,Robert Christopher Knight,R,NC,13, , ,RN,,,0,
2012,N00029909,Richard Carter,D,NE,2, , ,DN,,,0,
2012,N00029451,Peter Bearse,R,NH,1, , ,RN,,,0,
2012,N00029871,"Robert E Clegg, Jr",R,NH,2, , ,RN,,,0,
2012,N00030264,Peter Frank Boyce,3,NJ,2, , ,3N,,,0,
2012,N00029555,Martin L Marks,R,NJ,7, , ,RN,,,0,
2012,N00030484,David Corsi,R,NJ,12, , ,RN,,,0,
2012,N00029401,Jason Call,D,NM,1, , ,DN,,,0,
2012,N00029707,Jessica Lynn Wolfe,D,NM,1, , ,DN,,,0,
2012,N00029558,Joseph Cervantes,D,NM,2, , ,DN,,,0,
2012,N00029711,Daniel K East,R,NM,3, , ,RN,,,0,
2012,N00029404,Lee M Zeldin,R,NY,1, , ,RN,,,0,
2012,N00029713,James Patrick Keough,D,NY,3, , ,DN,,,0,
2012,N00030265,Ruben Wills,D,NY,6, , ,DN,,,0,
2012,N00000983,Vito Fossella,R,NY,13, , ,RN,,,0,
2012,N00029405,Domenic M Recchia Jr,D,NY,13, , ,DN,,,0,
2012,N00030268,Jamshad Wyne,R,NY,13, , ,RN,,,0,
2012,N00030368,Craig Schley,D,NY,13, ,Y,DL,,,0,
2012,N00029564,Kieran Michael Lalor,R,NY,19, , ,RN,,,0,
2012,N00029156,John Wallace,R,NY,20, , ,RN,,,0,
2012,N00029876,Todd Francis Goldup,U,NY,20, , ,UN,,,0,
2012,N00029878,Lester Freeman,D,NY,21, , ,DN,,,0,
2012,N00030055,Darius Shahinfar,D,NY,21, , ,DN,,,0,
2012,N00029717,Joseph Michael Schmidt,R,NY,9, , ,RN,,,0,
2012,N00030057,Eric Carciofolo,D,NY,23, , ,DN,,,0,
2012,N00029157,Jonathan Powers,D,NY,26, , ,DN,,,0,
2012,N00029332,Alice J Kryzan,D,NY,26, , ,DN,,,0,
2012,N00030272,Kathy Konst,D,NY,26, , ,DN,,,0,
2012,N00029228,Rosemary Palmer,D,OH,10, , ,DN,,,0,
