,cycle,id,candidate_name,party,district,current_candidate,cycle_candidate,recip_code,raised_from_pacs,raised_from_individuals,raised_total,raised_unitemized
113,2012,N00033803,Jonathan Michael Snow (D),D,FL12,Y,Y,DL,5000.0,3850.0,16206,7356.0
114,2012,N00034250,Paula Aboud (D),D,AZ02, ,Y,DN,,3750.0,11734,7984.0
115,2012,N00024857,John Courage (D),D,TX21, , ,DN,500.0,,500,0.0
116,2012,N00033224,Chuck Williams (R),R,UT02, ,Y,RN,,20526.0,25940,5414.0
117,2012,N00033450,Dean Young (R),R,AL01, ,Y,RL,,39750.0,44722,4972.0
118,2012,N00025391,Timothy L Carden (D),D,NJ07, , ,DN,,,0,0.0
119,2012,N00034342,Hayden Rogers (D),D,NC11,Y,Y,DL,262868.0,445138.0,761475,53469.0
120,2012,N00011971,Dan Lungren (R),R,CA07,Y,Y,RI,1483344.0,1153091.0,2772273,135838.0
121,2012,N00031667,Clayton Trotter (R),R,TX20, , ,RN,,,0,0.0
122,2012,N00033916,David Alameel (D),D,TX33, ,Y,DL,2600.0,3125.0,5885,160.0
123,2012,N00027749,Chuck Ahner (R),R,KS03, , ,RN,,,0,0.0
124,2012,N00034570,Manuel Valdez (D),D,TX33, ,Y,DL,,5450.0,5650,200.0
125,2012,N00002743,Allen Boyd (D),D,FL02, , ,DN,3000.0,,3000,0.0
126,2012,N00007556,John T. Doolittle (R),R,CA04, , ,RN,,,0,0.0
127,2000,N00003896,Jonathan Weinzapfel (D),D,IN08, , ,DN,,,0,0.0
128,2012,N00029137,Jay K Footlik (D),D,IL10, , ,DN,,,0,0.0
129,2012,N00034140,Jane Cross (D),D,TX15, ,Y,DL,4500.0,3250.0,8895,1145.0
130,2016,N00036928,Dan Donovan (R),R,NY11, , ,RO,579237.0,562832.0,1219699,77630.0
131,2012,N00034013,Darren Ayres (R),R,FL13, ,Y,RL,1000.0,38636.0,43634,3998.0
132,2012,N00027609,Tramm Hudson (R),R,FL13, , ,RN,,,0,0.0
133,2012,N00033747,Chris Miller (D),D,IL12, ,Y,DL,,31570.0,37506,5936.0
134,2012,N00025095,John Carter (R),R,TX31,Y,Y,RW,434106.0,445646.0,888792,9040.0
135,2012,N00033241,Don Bates Jr (R),R,IN06, ,Y,RL,,169739.0,185680,15941.0
136,2012,N00034695,Sean Seibert (R),R,TX18,Y,Y,RL,1000.0,19946.0,35744,14798.0
137,2012,N00032468,Gregory Adam Bartosz (R),R,MD03, , ,RN,,-350.0,-350,0.0
138,2012,N00031992,John Aslanian (R),R,NJ09, , ,RN,,450.0,450,0.0
139,2012,N00035215,Robin Kelly (D),D,IL02, , ,DN,,157912.0,186398,28486.0
140,2012,N00033462,Jim Hickey (D),D,IL11, ,Y,DL,,6350.0,9855,3505.0
141,2012,N00002713,Corrine Brown (D),D,FL05,Y,Y,DW,330570.0,246117.0,593520,16833.0
142,2012,N00007690,Greg Walden (R),R,OR02,Y,Y,RW,1689180.0,974099.0,2809091,145812.0
143,2012,N00030946,Michael A. Allegretti (R),R,NY13, , ,RN,,,0,0.0
144,2012,N00034356,F. Jay Seegmiller (D),D,UT02,Y,Y,DL,72936.0,32050.0,119750,14764.0
145,2012,N00031845,Taze Shepard (D),D,AL05, , ,DN,,,0,0.0
146,2012,N00034119,Melissa Eaton (D),D,PA03,Y,Y,DL,74430.0,110459.0,257793,72904.0
147,2012,N00033426,Andrew Hughes (D),D,WA07, ,Y,DL,,192374.0,208565,16191.0
148,2012,N00034312,Susan Shelley (R),R,CA30, ,Y,RL,,2221.0,5619,3398.0
149,2012,N00032530,Julie Lassa (D),D,WI07, , ,DN,-2000.0,,-2000,0.0
150,2012,N00034683,Harold Whitfield (D),D,MO02, ,Y,DL,6000.0,5750.0,17560,5810.0
151,2012,N00034347,Mark Swomley (R),R,PA04, ,Y,RL,,39438.0,45309,5871.0
152,2012,N00026339,Rick Murphy (R),R,AZ04, ,Y,RL,,2900.0,2900,0.0
153,2012,N00034073,Danny Bedwell (L),L,MS01,Y,Y,3C,,2000.0,3571,1571.0
