cycle,cid,candidate_name,party,state,district,campaign,cycle_candidate,recip_code,nopacs,raised_from_pacs,raised_from_individuals,raised_total,raised_unitemized
2012,N00032349,Matthew Zeller,D,NY,NY-23,CON, ,DN, ,,,0,0.0
2012,N00033731,Paul Babeu,R,AZ,AZ-04,CON,Y,RN, ,2500.0,294171.0,403215,106544.0
2012,N00012457,Jesse Jackson Jr,D,IL,IL-02,CON,Y,DW, ,363835.0,634513.0,1030441,32093.0
2012,N00032412,David Miller,R,CA,CA-32,CON,Y,RL, ,,29949.0,38699,8750.0
2012,N00033343,Dan 'Doc' Severson,R,MN,,SEN,Y,RN, ,500.0,110637.0,181049,69912.0
2012,N00033031,Jamie L. Radtke,R,VA,,SEN,Y,RL, ,2500.0,425301.0,648141,220340.0
2012,N00034220,Terrence Modglin,I,VA,,SEN,Y,3L, ,,4131.0,5795,1664.0
2012,N00031088,Cecilia Patricia Iglesias,I,CA,CA-47,CON, ,3N, ,,,0,0.0
2012,N00033994,Jess Herrera,D,CA,CA-26,CON,Y,DL, ,2000.0,11885.0,24408,10523.0
2004,N00026853,Donna J Anderson,D,NE,NE-03,CON,Y,DL, ,,1930.0,5747,3817.0
2008,N00028126,Scott Lloyd Folkens,R,CA,CA-43,CON,Y,RL, ,,3325.0,4734,1409.0
2004,N00026589,Nick Clooney,D,KY,KY-04,CON,Y,DL, ,2297037.0,909216.0,3294177,87924.0
2008,N00030062,David Krikorian,3,OH,OH-02,CON,Y,3L, ,1000.0,96341.0,138130,40789.0
2008,N00028338,Charles Dertinger,D,PA,PA-15,CON, ,DN, ,-2500.0,,-2500,0.0
2008,N00029784,Glenn Nye,D,VA,VA-02,CON,Y,DW, ,1050448.0,981589.0,2126670,94633.0
2004,N00026827,Richard John Penberthy,D,FL,FL-05,CON,Y,DL, ,,3900.0,5874,1974.0
2008,N00029649,Jackie Speier,D,CA,CA-12,CON,Y,DW, ,348337.0,1176524.0,1643683,118822.0
2008,N00029950,Matt Kokkonen,R,CA,CA-23,CON,Y,RL, ,4000.0,20117.0,34928,10811.0
2008,N00004762,Judy Biggert,R,IL,IL-13,CON,Y,RW, ,749388.0,644910.0,1438466,44168.0
2004,N00026521,Cynthia Matthews,D,CA,CA-26,CON,Y,DL, ,5148.0,23000.0,42592,14444.0
2008,N00029880,Mike Carroll,D,OH,OH-04,CON,Y,DL, ,15550.0,10550.0,30358,4258.0
2008,N00001764,Richard G Lugar,R,IN,,SEN, ,RI, ,11000.0,442114.0,541303,88189.0
2004,N00026633,George Charles Ajjan,R,NJ,NJ-08,CON,Y,RL, ,,108354.0,138889,30535.0
2008,N00029474,Mike Copass,D,CA,CA-53,CON,Y,DL, ,,8300.0,12296,3996.0
2008,N00029870,Jennifer M Horn,R,NH,NH-02,CON,Y,RL, ,170365.0,194835.0,400613,35413.0
2004,N00026576,Anita Rivkin-Carothers,D,IL,IL-07,CON, ,DC, ,,39220.0,48675,9455.0
2004,N00026576,Anita Rivkin-Carothers,D,IL,IL-07,CON,Y,DL, ,,39220.0,48675,9455.0
2004,N00007936,Brian Baird,D,WA,WA-03,CON,Y,DW, ,318333.0,460465.0,925152,146354.0
