cycle,senate,won,raised_total_1M,Dem,Other,Repub,state_rank
2010,0,0,0.006836,0,0,1,13
2010,0,0,0.005095,1,0,0,10
2014,0,1,1.942714,0,0,1,34
2014,0,0,0.013999,0,0,1,25
2014,0,0,1.315004,1,0,0,23
2010,0,0,0.055931,1,0,0,28
2010,0,0,0.06005,0,0,1,21
2010,0,0,0.018789,0,0,1,35
2014,0,0,0.0,0,0,1,38
2010,0,0,0.008196,0,0,1,38
2014,0,0,0.015315,0,0,1,37
2010,0,0,2.252556,1,0,0,21
2010,0,0,0.012874,1,0,0,47
2010,0,1,1.253462,0,0,1,35
2010,0,1,1.461724,1,0,0,35
2014,0,0,0.133297,0,0,1,17
2014,0,1,1.834712,0,0,1,45
2014,0,0,0.0207,0,0,1,13
2010,0,0,0.047399,0,0,1,16
2010,0,0,1.876029,0,0,1,35
2014,0,0,0.017567,0,0,1,38
2014,0,1,2.783418,0,0,1,10
2014,0,1,1.504112,0,0,1,8
2010,0,0,0.0012,0,1,0,47
2014,0,0,0.003811,0,1,0,34
2010,0,0,0.064128,0,0,1,27
2014,0,1,0.99462,0,0,1,46
2014,0,0,0.625822,0,0,1,27
2010,0,0,0.01089,0,1,0,7
2010,0,0,0.117353,1,0,0,32
2010,0,0,0.005463,0,1,0,30
2010,0,0,0.049135,0,0,1,13
2014,0,0,0.478939,1,0,0,15
2010,0,0,0.035396,1,0,0,15
2010,0,0,0.005622,0,1,0,41
2010,0,0,0.004577,1,0,0,35
2010,0,0,0.04599,0,0,1,45
2014,0,1,1.077617,0,0,1,32
2010,0,0,0.170105,0,0,1,33
2010,0,0,0.009838,0,0,1,27
2014,0,0,0.008045,0,0,1,30
2014,0,1,1.477905,0,0,1,13
2014,0,0,0.071836,1,0,0,22
2014,0,0,0.08413,1,0,0,44
2010,0,0,0.131293,0,0,1,12
2010,0,0,0.036506,0,1,0,47
2010,0,0,0.01415,0,0,1,30
2014,0,0,0.143323,0,0,1,38
2010,0,0,0.0259,0,0,1,29
2014,0,1,1.297006,0,0,1,38
2010,0,1,0.539183,0,0,1,48
2014,0,0,0.0052,0,0,1,37
2010,0,0,0.018766,0,1,0,9
2010,0,0,0.02615,1,0,0,28
2010,0,0,0.013679,1,0,0,38
2010,0,0,0.02249,0,0,1,48
2014,0,0,0.18273,1,0,0,25
2014,0,1,3.756829,1,0,0,35
2010,0,0,0.868816,1,0,0,15
2014,0,1,0.955745,0,0,1,38
2014,0,1,1.037552,1,0,0,5
2014,0,0,0.037342,1,0,0,39
2010,0,0,0.032475,0,0,1,34
2014,0,0,0.006542,1,0,0,19
2010,0,0,0.058302,0,0,1,24
2014,0,0,0.990654,1,0,0,35
2014,0,0,0.427535,1,0,0,31
2014,0,0,0.156195,0,0,1,15
2010,0,0,0.04515,0,0,1,34
2014,0,0,0.007864,0,0,1,45
2014,0,1,2.009381,1,0,0,3
2010,0,1,0.392085,1,0,0,23
2010,0,0,0.111176,0,0,1,34
2000,0,1,0.744634,0,0,1,48
2000,0,0,0.540895,0,0,1,30
2000,0,0,0.003355,1,0,0,35
2000,0,0,0.327688,0,0,1,13
2000,0,0,0.271431,0,0,1,15
2000,0,0,0.030916,0,0,1,35
2000,0,1,0.830684,0,0,1,43
2000,0,0,0.008963,1,0,0,34
2000,0,0,0.131397,0,0,1,34
2000,0,0,0.0,0,1,0,27
2000,0,0,0.012521,0,0,1,16
2000,0,1,1.808237,0,0,1,38
2000,0,0,0.00695,0,0,1,33
2000,0,0,0.00688,0,0,1,30
2000,0,1,1.782859,1,0,0,30
2000,0,0,0.0086,0,1,0,44
2000,0,1,0.852372,0,0,1,37
2000,0,1,1.086908,1,0,0,24
2000,0,1,2.683564,0,0,1,38
2000,0,1,0.897006,0,0,1,13
2000,0,1,0.350888,0,0,1,34
2000,0,1,0.266537,0,0,1,10
2000,0,0,0.005755,0,1,0,15
2000,0,0,0.045381,0,1,0,25
2000,0,0,0.139211,0,0,1,29
2000,0,1,0.978112,0,0,1,33
2000,0,0,0.077135,0,0,1,15
2000,0,0,0.558675,0,0,1,15
2000,0,0,0.007868,1,0,0,34
2000,0,0,0.933567,1,0,0,43
2000,0,1,1.11964,1,0,0,23
2000,0,0,0.516885,1,0,0,48
2000,0,0,0.421891,1,0,0,15
2000,0,0,0.035161,0,0,1,35
2000,0,1,0.952144,1,0,0,21
2000,0,0,0.004209,0,1,0,9
2000,0,0,0.016754,0,0,1,29
2000,0,0,1.263304,1,0,0,4
2000,0,0,0.022555,0,0,1,30
2000,0,1,2.858761,0,0,1,30
2004,0,0,0.001267,1,0,0,10
2004,0,1,1.50768,1,0,0,25
2008,0,0,0.01865,0,0,1,21
2008,0,1,0.33288,1,0,0,23
2008,0,0,0.117609,0,0,1,10
2008,0,0,0.015695,0,0,1,13
2008,0,0,0.052692,0,0,1,28
2004,0,1,1.577184,0,0,1,22
2008,0,1,1.315616,0,0,1,21
2004,0,1,0.393102,0,0,1,27
2008,0,0,1.182484,1,0,0,5
2008,0,0,0.059782,1,0,0,14
2004,0,0,0.018606,1,0,0,10
2004,0,0,0.069325,0,0,1,36
2004,0,0,0.09749,1,0,0,23
2004,0,1,0.513541,1,0,0,27
2004,0,0,0.023533,0,0,1,9
2008,0,1,1.656604,1,0,0,33
2004,0,1,1.737334,1,0,0,13
2008,0,1,1.115067,0,0,1,43
2008,0,0,0.445858,1,0,0,14
2008,0,1,0.932001,1,0,0,45
2008,0,0,0.008806,1,0,0,37
2008,0,0,0.011747,0,0,1,30
2008,0,0,0.02385,0,0,1,14
2004,0,1,0.299827,1,0,0,23
2008,0,0,0.031745,1,0,0,35
2008,0,0,0.750556,1,0,0,42
2008,0,0,0.941384,0,0,1,46
2008,0,1,1.067056,0,0,1,32
2004,0,1,1.405201,1,0,0,16
2004,0,1,0.835139,1,0,0,45
2008,0,1,1.441027,1,0,0,20
2008,0,0,0.02628,0,0,1,4
2008,0,1,0.832386,0,0,1,16
2004,0,0,5.328173,1,0,0,30
2008,0,0,0.039398,1,0,0,32
2004,0,1,0.639741,1,0,0,10
2008,0,0,0.00344,0,0,1,28
