cycle,id,candidate_name,party,state,district,current_candidate,cycle_candidate,recip_code,raised_from_pacs,raised_from_individuals,raised_total,raised_unitemized
2008,N00006134,Diana DeGette,D,CO,1,Y,Y,DW,536250,223499,788663,28914
2004,N00026535,Albert Robles,D,CA,37, ,Y,DL,,28225,33944,5719
2008,N00029369,John Dicks,D,FL,9, ,Y,DL,17010,172925,205270,15335
2004,N00001222,Maurice Hinchey,D,NY,22,Y,Y,DW,215389,266978,681346,198979
2010,N00030254,Mary Waters,D,MI,13, , ,DN,,,0,0
2008,N00004367,Tammy Baldwin,D,WI,2,Y,Y,DW,424256,410418,834674,0
2008,N00006425,John Shadegg,R,AZ,3,Y,Y,RW,1147681,1616495,2927739,163563
2004,N00000226,John F Tierney,D,MA,6,Y,Y,DW,195010,355884,669696,118802
2008,N00029288,Brian P Ruiz,D,TX,31,Y,Y,DL,,15766,24224,8458
2004,N00027164,Lou Munoz,R,AZ,7, ,Y,RL,,1800,5090,3290
2004,N00025213,Frank Gonzalez,L,FL,21,Y,Y,3L,,4147,17584,13437
2000,N00000248,Alex Rodriguez,D,MA,8, , ,DN,,,100,100
2008,N00029650,Christopher Jon Balding,R,CA,34,Y,Y,RL,,6493,7053,560
2000,N00003344,Richard Edward O'Hara,D,MS,5, , ,DN,,,0,
2000,N00003357,Karl Mertz,R,MS,5, ,Y,RL,,,0,
2008,N00028761,Frank Enriquez,D,TX,28, , ,DN,,1181,1181,0
2004,N00026792,Greg Ruehle,R,NE,1, ,Y,RL,28739,308175,412236,75322
2008,N00000423,Charles Bass,R,NH,2, , ,RN,-3000,,-3000,0
2004,N00005818,Sheila Jackson Lee,D,TX,18,Y,Y,DW,202641,154140,369216,12435
2004,N00000781,Frank Pallone Jr,D,NJ,6,Y,Y,DW,552952,908859,1539944,78133
2008,N00026148,Louis B Gohmert Jr,R,TX,1,Y,Y,RW,179208,635241,868724,54275
2008,N00028954,Greg Warren,D,AL,4, , ,DN,,15381,16974,1593
2004,N00005265,Michael R Kinard,D,KS,4,Y,Y,DL,,5100,9303,4203
2002,N00025226,James L Hart,I,TN,8,Y,Y,3L,,1743,1745,2
2006,N00028069,Steve Francis,D,IN,2, ,Y,DL,,8953,12577,3624
2016,N00034092,Chris Edwards,R,NV,1, , ,RN,,,0,0
2002,N00003939,David E Bonior,D,MI,10, ,Y,DI,318348,174493,532420,39579
2000,N00003352,Ray Coffey,L,MS,5, , ,3N,,,0,
2000,N00003351,Robert Claunch,3,MS,5, , ,3N,,,0,
2006,N00025026,Donzella James,D,GA,13, , ,DC,,57000,58525,1525
2006,N00025026,Donzella James,D,GA,13, ,Y,DL,,57000,58525,1525
2002,N00013810,William (Bill) J Campbell,R,CA,47, ,Y,RN,729,25126,26355,500
2006,N00027869,Danny Leroy Stover,D,IL,19,Y,Y,DL,23485,61806,123191,37900
2002,N00009656,Eleanor Jordan,D,KY,3, , ,DN,3833,,3833,0
2000,N00004663,Mike Fellows,L,MT,1, , ,3N,,,0,
2002,N00009829,Jim McDermott,D,WA,7,Y,Y,DW,219656,71119,359149,68374
2006,N00027828,Jeff Latas,D,AZ,8, ,Y,DL,1000,75215,111280,35065
2006,N00027805,Kenneth Wayne Arnold,R,IL,8, ,Y,RL,,35600,38340,2740
2016,N00033123,Dianne Costa,R,TX,25, , ,RN,,,0,0
2000,N00004628,Webb Sullivan,3,MT,1, , ,3N,,,0,
2016,N00004436,John Kline,R,MN,2, ,Y,RI,329750,292107,649564,27707
2016,N00027502,Thomas H Kean Jr,R,NJ,7, , ,RN,,,0,0
2002,N00001371,William J Coyne,D,PA,14, ,Y,DI,5500,2550,8050,0
2016,N00037256,Victoria Steele,D,AZ,2,Y,Y,DC,2500,29849,66593,34244
2006,N00025626,Janine Selendy,D,NY,19, , ,DN,,242,342,100
2006,N00027904,Bill Graves,R,OK,5, ,Y,RN,,11650,14480,2830
2006,N00026857,Amy Vasquez,D,NJ,4, , ,DN,2000,250,2250,0
2016,N00021222,Chuck Norris,D,CO,1,Y,Y,DC,,2700,3426,726
2016,N00029908,Joe Garcia,D,FL,26, , ,DN,-3000,,-3000,0
2016,N00004884,Danny K Davis,D,IL,7,Y,Y,DI,165350,10000,184245,8895
2006,N00028547,Edward W Bowlin,I,FL,12,Y,Y,3L,,10100,14330,4230
2016,N00038203,Dave Anderson,D,MD,8,Y,Y,DO,,59055,68612,9557
2002,N00025522,Charles McPeek Sr,D,MD,7, ,Y,DL,,1340,1340,0
2016,N00009753,Jim Matheson,D,UT,4, , ,DN,-6000,,-6000,0
2016,N00035249,Elizabeth Colbert Busch,D,SC,1, , ,DN,,,0,0
2016,N00032290,Arthur Lieber,D,MO,2,Y,Y,DC,,,0,0
2006,N00028470,Dan Smith,R,TN,1, ,Y,RL,,12412,12412,0
2006,N00009829,Jim McDermott,D,WA,7,Y,Y,DW,218743,232756,819124,367625
2006,N00027665,Tom Kovach,D,PA,18, ,Y,DL,,3250,7506,4256
2006,N00028294,Vincent Micco,R,NJ,9,Y,Y,RL,4035,26420,50490,20035
2016,N00036022,Jeffrey Carson,L,VA,8, , ,3N,,,0,0
2000,N00002272,Jerome A Power,R,NC,1, , ,RN,,,0,
2016,N00033734,Perry Haney,D,CO,6, , ,DN,,1000,1000,0
2016,N00030682,Scott Murphy,D,NY,20, , ,DN,,,0,0
2006,N00003158,John Wolfe Jr,D,TN,3, , ,DN,,165,285,120
2002,N00025026,Donzella J James,D,GA,13, ,Y,DL,1350,62651,73720,9719
2006,N00028031,Eric Roach,R,CA,50, ,Y,RL,,1074184,1081658,7474
2006,N00026704,Roger Allen Scott,R,TX,20, , ,RN,,500,500,0
2002,N00025402,Philip Anthony Alfonsi,R,WI,2, ,Y,RL,,37095,53013,15918
