,weighted_score
IN-01,0.35294117647058826
WV-01,0.355119825708061
FL-07,0.3572984749455338
CA-25,0.35947712418300654
IN-07,0.3616557734204793
GA-02,0.3638344226579521
TX-24,0.3660130718954248
MI-14,0.3681917211328976
NC-10,0.37037037037037035
TN-04,0.37254901960784315
IA-02,0.3747276688453159
CA-28,0.3769063180827887
GA-13,0.3790849673202614
TN-09,0.3812636165577342
WI-02,0.38344226579520696
OH-10,0.38562091503267976
ME-02,0.3877995642701525
AR-02,0.3899782135076253
NC-05,0.39215686274509803
CA-29,0.39433551198257083
CA-41,0.39651416122004357
HI-02,0.39869281045751637
ID-01,0.4008714596949891
TX-21,0.40305010893246185
MN-05,0.40522875816993464
CA-14,0.4074074074074074
AL-05,0.4095860566448802
MO-09,0.4117647058823529
PA-17,0.4139433551198257
NJ-08,0.41612200435729846
NC-02,0.41830065359477125
DE-01,0.420479302832244
LA-05,0.4226579520697168
AL-01,0.42483660130718953
KY-02,0.42701525054466233
AZ-02,0.42919389978213507
MA-03,0.43137254901960786
CA-09,0.4335511982570806
OH-07,0.4357298474945534
TX-28,0.43790849673202614
FL-20,0.4400871459694989
TX-12,0.4422657952069717
OH-04,0.4444444444444444
CA-45,0.4466230936819172
MS-02,0.44880174291938996
FL-25,0.45098039215686275
OK-05,0.4531590413943355
KS-01,0.4553376906318083
MI-10,0.45751633986928103
OK-04,0.4596949891067538
ID-02,0.46187363834422657
IL-09,0.46405228758169936
CA-44,0.4662309368191721
ME-01,0.4684095860566449
MS-01,0.47058823529411764
MA-07,0.47276688453159044
NV-02,0.4749455337690632
MD-01,0.477124183006536
NY-08,0.4793028322440087
NC-07,0.48148148148148145
NY-10,0.48366013071895425
WA-06,0.485838779956427
AR-01,0.4880174291938998
CA-05,0.49019607843137253
IN-08,0.4923747276688453
VA-06,0.49455337690631807
CA-01,0.49673202614379086
OH-13,0.4989106753812636
FL-23,0.5010893246187363
OH-06,0.5032679738562091
NC-13,0.5054466230936819
AL-07,0.5076252723311547
SC-07,0.5098039215686274
OH-02,0.5119825708061002
MI-12,0.514161220043573
MS-03,0.5163398692810458
VA-09,0.5185185185185185
MI-11,0.5206971677559913
IL-19,0.5228758169934641
PA-03,0.5250544662309368
TN-03,0.5272331154684096
MO-08,0.5294117647058824
MI-16,0.5315904139433552
CA-07,0.5337690631808278
CA-47,0.5359477124183006
CA-50,0.5381263616557734
AZ-03,0.5403050108932462
KS-02,0.5424836601307189
NC-09,0.5446623093681917
KY-01,0.5468409586056645
NY-27,0.5490196078431373
IL-12,0.55119825708061
FL-19,0.5533769063180828
FL-08,0.5555555555555556
TN-07,0.5577342047930284
CA-15,0.5599128540305011
CA-30,0.5620915032679739
CA-39,0.5642701525054467
TX-35,0.5664488017429193
TX-10,0.5686274509803921
TX-01,0.5708061002178649
WI-03,0.5729847494553377
NY-17,0.5751633986928104
NY-13,0.5773420479302832
NY-07,0.579520697167756
MO-02,0.5816993464052288
SC-05,0.5838779956427015
WA-03,0.5860566448801743
LA-06,0.5882352941176471
CA-21,0.5904139433551199
MA-09,0.5925925925925926
IL-16,0.5947712418300654
NJ-02,0.5969498910675382
IL-13,0.599128540305011
AL-03,0.6013071895424836
CA-20,0.6034858387799564
CA-18,0.6056644880174292
NY-25,0.6078431372549019
TX-19,0.6100217864923747
FL-24,0.6122004357298475
CA-03,0.6143790849673203
LA-04,0.616557734204793
HI-01,0.6187363834422658
OH-14,0.6209150326797386
TX-11,0.6230936819172114
MA-06,0.6252723311546841
CT-01,0.6274509803921569
TN-06,0.6296296296296297
MI-08,0.6318082788671024
CA-24,0.6339869281045751
MN-08,0.6361655773420479
TN-08,0.6383442265795207
MI-01,0.6405228758169934
SC-02,0.6427015250544662
IN-06,0.644880174291939
GA-11,0.6470588235294118
NY-29,0.6492374727668845
TX-33,0.6514161220043573
PA-21,0.6535947712418301
NH-01,0.6557734204793029
OH-18,0.6579520697167756
VA-05,0.6601307189542484
MO-06,0.6623093681917211
VA-08,0.664488017429194
OK-02,0.6666666666666666
NE-02,0.6688453159041394
NC-11,0.6710239651416122
WI-08,0.673202614379085
NJ-09,0.6753812636165577
PA-11,0.6775599128540305
PA-18,0.6797385620915033
OR-01,0.681917211328976
KS-04,0.6840958605664488
AK-01,0.6862745098039216
CA-12,0.6884531590413944
NV-04,0.690631808278867
PA-10,0.6928104575163399
IL-17,0.6949891067538126
PA-09,0.6971677559912854
OH-16,0.6993464052287581
CA-52,0.7015250544662309
GA-08,0.7037037037037037
IL-05,0.7058823529411765
AL-06,0.7080610021786492
OH-01,0.710239651416122
LA-07,0.7124183006535948
CA-04,0.7145969498910676
CA-08,0.7167755991285403
